Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
1/24/1965,0:11:17,-2.608,125.952,Earthquake,20,,,8.2,MW,,,,,,,ISCGEM861299,ISCGEM,ISCGEM,ISCGEM,Reviewed
1/29/1965,9:35:30,54.636,161.703,Earthquake,55,,,5.5,MW,,,,,,,ISCGEM861461,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/1/1965,5:27:06,-18.697,-177.864,Earthquake,482.9,,,5.6,MW,,,,,,,ISCGEM859136,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/2/1965,15:56:51,37.523,73.251,Earthquake,15,,,6,MW,,,,,,,ISCGEM859164,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,3:25:00,-51.84,139.741,Earthquake,10,,,6.1,MW,,,,,,,ISCGEM859200,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,5:01:22,51.251,178.715,Earthquake,30.3,,,8.7,MW,,,,,,,OFFICIAL19650204050122_30,OFFICIAL,ISCGEM,OFFICIAL,Reviewed
2/4/1965,6:04:59,51.639,175.055,Earthquake,30,,,6,MW,,,,,,,ISCGEMSUP859215,ISCGEMSUP,ISCGEM,ISCGEM,Reviewed
2/4/1965,6:37:06,52.528,172.007,Earthquake,25,,,5.7,MW,,,,,,,ISCGEM859221,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,6:39:32,51.626,175.746,Earthquake,25,,,5.8,MW,,,,,,,ISCGEM859222,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,7:11:23,51.037,177.848,Earthquake,25,,,5.9,MW,,,,,,,ISCGEMSUP859230,ISCGEMSUP,ISCGEM,ISCGEM,Reviewed
2/4/1965,7:14:59,51.73,173.975,Earthquake,20,,,5.9,MW,,,,,,,ISCGEM859231,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,7:23:12,51.775,173.058,Earthquake,10,,,5.7,MW,,,,,,,ISCGEM859233,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,7:43:43,52.611,172.588,Earthquake,24,,,5.7,MW,,,,,,,ISCGEMSUP859241,ISCGEMSUP,ISCGEM,ISCGEM,Reviewed
2/4/1965,8:06:17,51.831,174.368,Earthquake,31.8,,,5.7,MW,,,,,,,ISCGEM859252,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,8:33:41,51.948,173.969,Earthquake,20,,,5.6,MW,,,,,,,ISCGEM859261,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,8:40:44,51.443,179.605,Earthquake,30,,,7.3,MW,,,,,,,ISCGEM859264,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,12:06:08,52.773,171.974,Earthquake,30,,,6.5,MW,,,,,,,ISCGEM859324,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,12:50:59,51.772,174.696,Earthquake,20,,,5.6,MW,,,,,,,ISCGEM859333,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,14:18:29,52.975,171.091,Earthquake,25,,,6.4,MW,,,,,,,ISCGEM859358,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,15:51:25,52.99,170.874,Earthquake,25,,,5.8,MW,,,,,,,ISCGEM859376,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,18:34:12,51.536,175.045,Earthquake,25,,,5.8,MW,,,,,,,ISCGEM859400,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,19:44:04,13.245,-44.922,Earthquake,10,,,5.8,MW,,,,,,,ISCGEM859419,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/4/1965,22:30:03,51.812,174.206,Earthquake,10,,,5.7,MW,,,,,,,ISCGEM859449,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/5/1965,6:39:50,51.762,174.841,Earthquake,25,,,5.7,MW,,,,,,,ISCGEM859516,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/5/1965,9:32:11,52.438,174.321,Earthquake,39.5,,,6.3,MW,,,,,,,ISCGEM859539,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/5/1965,13:38:47,51.946,173.84,Earthquake,30,,,5.7,MW,,,,,,,ISCGEM859570,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/5/1965,20:47:12,51.738,174.566,Earthquake,20,,,6,MW,,,,,,,ISCGEM859611,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/5/1965,22:16:02,51.487,176.558,Earthquake,30.4,,,5.6,MW,,,,,,,ISCGEM859620,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/6/1965,1:40:32,53.008,-162.008,Earthquake,17.8,,,6.4,MW,,,,,,,ISCGEM859637,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/6/1965,4:02:54,52.184,175.505,Earthquake,27.7,,,6.2,MW,,,,,,,ISCGEM859650,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/6/1965,7:14:45,52.076,172.918,Earthquake,30.1,,,5.6,MW,,,,,,,ISCGEM859669,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/6/1965,12:22:28,51.744,175.213,Earthquake,37.4,,,5.7,MW,,,,,,,ISCGEM859693,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/6/1965,14:11:11,52.057,174.116,Earthquake,17.5,,,5.7,MW,,,,,,,ISCGEM859699,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/6/1965,16:50:29,53.191,-161.859,Earthquake,22.5,,,6.3,MW,,,,,,,ISCGEM859712,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/6/1965,18:10:30,51.447,176.469,Earthquake,25.2,,,5.8,MW,,,,,,,ISCGEM859718,ISCGEM,ISCGEM,ISCGEM,Reviewed
2/7/1965,2:17:08,51.258,173.393,Earthquake,17.7,,,5.7,MW,,,,,,,ISCGEM859754,ISCGEM,ISCGEM,ISCGEM,Reviewed
